osoba_id,email,telefon,ulica,numer_domu,miasto,kod_pocztowy,kraj
cf91fb55-47eb-4d11-8f89-2d9848eafd28,matthew21@example.org,478-432-4139,Brown Groves,23815,North Richardchester,42275,Sri Lanka
bc6c6076-056b-4ff5-a74c-aea0c2c2ac45,cfox@example.org,(502)330-2706x342,Banks Expressway,470,East Robinville,43412,Ethiopia
ea7779c3-fb73-440c-92d8-a94d963d466c,jeffreywilliams@example.org,+1-630-784-4100x14279,Daniel Trail,97365,Burnettmouth,60843,Montenegro
c6ec699e-284c-496d-a4a4-2a9505de7898,wallacecarmen@example.org,797.615.7521,Anderson Landing,366,New Annamouth,31739,Solomon Islands
9f325c45-db9e-4beb-b566-c6cda550b75a,kristy72@example.org,(903)259-1065x66220,Jason Alley,994,New Katherine,78219,Djibouti
f873bc6a-9250-49bf-b1fb-3627e9d00cc4,aaron45@example.com,318.312.8089x32645,Melissa Parks,248,New Kellybury,00686,Nicaragua
9d776366-469f-45b1-a877-e8b1337d7117,jacksontami@example.com,422-889-9872x244,Erin Plain,45655,East Davidfort,50164,Tokelau
f3d3c741-d0a8-48c9-b1ed-4f52f6ae3a77,roconnor@example.org,793.747.9079x72670,Vanessa Manor,5261,West Jason,75543,Chile
40cfa29f-2588-4f01-8fa7-cce4d2c2ac33,ericavery@example.net,(696)489-8054x349,Martinez Shoals,157,Port Yvetteborough,89527,Comoros
38715207-c96e-4d55-a38e-581bbee287f8,millerdeborah@example.org,(696)766-3292x0988,Wanda Motorway,5386,Lucasmouth,39350,Christmas Island
4ff65acd-8c3f-4138-a975-31dabe99d436,athomas@example.org,282.589.7735,Cesar Junction,9022,South Jeremy,43939,Bhutan
aeb375e4-3231-4498-a0b0-2912963b1648,xgates@example.org,432-876-3854x414,Williams Tunnel,45795,Everettborough,46380,Israel
158a6d60-6c22-47a4-80a2-b4879efb391c,qadams@example.org,(959)627-8357,Jessica Islands,2921,Cherylport,67129,Togo
7a4a75d9-7b40-465c-ad88-96f5c2bbd2b6,michael80@example.net,+1-638-231-3022x80869,Lisa Springs,744,Grantbury,36918,Belarus
9cc7340f-e6e7-4f9f-a9b8-989fd6ffa2e2,ericfisher@example.com,+1-709-584-3560,John Vista,163,West Willie,07888,Swaziland
76b2a719-dabf-4826-96d6-e7a66bd5b718,mark42@example.com,001-759-982-1517x54963,Brandon Light,46628,Jonathanfurt,46485,Dominican Republic
b192df22-dd67-40d0-b494-0edf65768f5b,fieldsmichelle@example.com,(373)593-3103,Kevin Avenue,6206,Manningtown,97336,Swaziland
cbb3600a-45f0-4b76-8181-4aaf335bcb2f,joneswilliam@example.com,2713491857,Sheri Key,64300,Lake Paula,60347,Georgia
5313382b-37e3-4430-a38d-04c2e465951d,rarnold@example.com,+1-550-521-0327x32435,Amy Brooks,9342,New Leah,77959,Tanzania
49de70de-0e61-4536-963c-14beacffde0a,clarkalec@example.com,001-473-310-9637,Ramos Greens,65336,South Maryhaven,33624,Saint Barthelemy
a2e4fb00-809e-4e5a-8b6b-da922003aa7f,ckennedy@example.com,+1-369-421-1074x7261,Brenda Spur,1553,Ricemouth,32055,United States of America
efddcc45-ac76-4226-b503-9041ea3b4889,zhawkins@example.net,001-491-443-2779x5677,Evans Ferry,62074,New Scott,12852,India
a9d2809d-0d3a-442d-aa75-958fec358081,robin69@example.org,239.859.2407,Tammy Motorway,9038,North David,14031,Burkina Faso
4be89086-0890-4469-8051-9f3d22a77a9d,troy86@example.net,001-452-550-7168x996,Herman Street,180,West Victoriaburgh,71508,Cape Verde
84937ddb-03e4-4a8a-833d-65b8af82c113,goodwinlydia@example.org,(911)338-5852x018,Kyle Station,48397,Davistown,44707,Svalbard & Jan Mayen Islands
