osoba_id,email,telefon,ulica,numer_domu,miasto,kod_pocztowy
cd55b29d-a640-472f-9b89-80e693488b33,jamesmorgan@example.org,(581)669-6194x047,Roger Spur,96443,Ortizmouth,80845
ebd5c957-e1d7-45d2-a058-01c043f733d2,wellschristopher@example.org,538-757-7819x68804,Richards Springs,99849,Halefurt,02918
57c55efb-450e-4a17-80d4-c8b17d7f62c5,iclark@example.com,+1-467-846-3726x8032,Shepherd Road,5769,Allenland,09258
a0932e8a-6bb9-4587-b717-790557dc534f,reynoldsmatthew@example.org,001-782-910-9607x0720,Brown Place,17082,West Darrenchester,97407
57941bb6-01b6-4514-9591-009d3ce424f8,bethross@example.org,249-212-5824,Sara Road,53449,Steelestad,50291
4621fa86-f4e9-4bd6-b9d2-04e6b9ca5bf1,charlesquinn@example.org,(443)446-0684x688,Roger Canyon,7233,New Raymondmouth,67622
2a60cf2a-0e15-496b-bd3d-8085ce68805b,perrynathan@example.net,480-845-3927x008,Bates Points,8974,New Shane,99292
f090523a-df86-4ba6-8617-bfd002cd1d66,kimberly79@example.com,+1-853-714-4208x7864,Karen Burg,785,South Tyler,87971
d26e5260-8545-4478-b877-187afe0b25a9,edward10@example.net,+1-881-818-3342,Baker View,0687,Jonesstad,59777
43d673de-e530-4c43-81f9-0654d978bcdb,andrew06@example.com,(893)610-5273,White Expressway,810,South Darrenview,20050
e99d89be-d749-4b54-bda3-c54bd9261c68,wwoodard@example.net,902.921.2429x14400,Kramer Plaza,5821,Ambermouth,27644
76f7b267-2b06-4919-852b-aa829bd307ce,uvargas@example.com,323.280.0828x0475,Ian Stravenue,109,Scottville,13336
96ea5f41-5984-45b0-b712-d6fe24bd7569,trevor66@example.com,904-271-7679x223,Cody Station,95269,Kimside,09934
2b96d2ee-eb54-4406-bd77-b468cfbbcf45,lisa15@example.net,(481)833-3523x67973,Ricardo Path,7629,Port Andreshaven,92856
ada4c917-ecc5-40b8-8207-9f6e0d5339c7,ujones@example.com,562.480.3754x3997,Hampton Station,514,Michaelberg,23162
688d8bb8-8cd4-4e70-a848-ff5a09202519,jeremy11@example.net,001-385-740-8172x4047,Horton Via,377,South Nancyton,58093
588901c5-8b56-4d96-b245-8e236f742930,qmoore@example.net,001-413-782-4769x77799,Smith Field,04852,East Richardville,36364
865153af-e395-40f0-84cd-0466fe4ea7d6,dan84@example.net,001-923-307-1722x9664,Melendez Curve,463,Danabury,87362
da351d80-8102-4a85-94af-d7c3e11b9e47,thomas97@example.org,658.765.3876x923,Catherine Via,2340,North Alexisbury,50955
54dba160-5951-4f88-a29c-cf6dc2d79bb8,maria19@example.com,+1-553-647-3302x25986,Zachary Ferry,61837,West Adamport,82307
6a3afe9a-5156-43e0-ae72-6c092376a3ce,cunninghamkendra@example.org,515.215.7502,Butler Key,5914,Lake Colin,81659
ddc087d2-c88a-4afc-9f41-b9be29fdb81a,amorris@example.org,3906465140,Henderson Coves,74542,Wrightview,74108
255b0023-482a-41d8-b8a6-f69927115cff,wsanchez@example.net,(878)665-2624x551,Tracy Pines,3184,Carrilloberg,43324
af923211-dd40-4317-ba26-ddd39a1b630e,qbrown@example.org,312.372.2010,Aaron Mountains,7241,New Phillipville,87489
5808efd0-8bc8-4989-bd90-823da6a9fdd0,ssmith@example.net,001-943-639-9696x496,Lynn Manors,2267,Bergberg,01309
