osoba_id,email,telefon,ulica,numer_domu,miasto,kod_pocztowy,kraj
89f662df-402f-4314-be46-129dacf24801,sgarcia@example.org,229.353.7921x18224,Kathleen Row,48557,Lake Davidport,94076,Svalbard & Jan Mayen Islands
5b9a111a-cbe3-4279-875c-0212222b04fa,ashleycannon@example.com,542.633.7429,Black Squares,0171,Port Laura,25475,Korea
4c8809da-dbe5-4055-b86e-7150e39a3db7,sarahmelendez@example.com,201.460.2091x747,Burgess Isle,785,Williamsville,50026,Cuba
2fddd500-f66c-4407-9772-38727b950bd0,robersonlevi@example.net,001-764-543-1859x3995,Kevin Pass,63597,Curtishaven,91674,Faroe Islands
31d726f8-a769-4f16-8816-a29b5be73908,dwilliams@example.net,677-996-3020x4839,Gross Flat,07291,Johnton,59895,Greece
79c6aefa-fed8-4bd4-9ea3-9d44f31149ff,sherryfreeman@example.com,990-532-4477x873,David Pike,88619,West Kathyshire,70838,Liechtenstein
32e74eda-521b-465c-a862-60c34a7932e2,kreyes@example.com,(338)810-6331x106,Cox Field,971,New Dawnview,81705,Mauritius
ad065396-c38e-44f6-b988-8f78789dfaca,danieldaniel@example.com,220.765.9167,Carpenter Garden,137,Brookestad,23797,Bahrain
ca6a1610-645b-4a92-b269-f343a7f3524d,colleentorres@example.com,+1-858-367-4525,Miller Stream,463,New Markfort,58919,Belgium
19286f89-fba7-4a3b-b212-a526d5c2b452,vnguyen@example.net,001-666-913-4752x8391,Jeffrey Haven,2392,Port Carrieborough,65603,Canada
3d495dfc-16f1-4d86-a6fb-fd0f278a540d,erneststephens@example.com,+1-623-786-6693x840,Teresa Summit,73437,Garybury,24731,Greenland
84324134-2bbe-44f0-a28f-ba87a2ffa7f6,scottcathy@example.org,001-729-801-6774x762,Angela Crest,7823,South Johnnyton,55262,Guinea
d1bdf00d-4692-4045-a322-59b6d08e8848,vanessa55@example.org,+1-869-994-9270x24522,Jacqueline Trafficway,2665,Hallstad,63346,Samoa
26352661-2a90-4050-a918-5fe1a30a699b,william91@example.com,559-350-1234x30754,John Skyway,4494,Jacksonburgh,95452,Hong Kong
